task,mechanism,split,task_difficulty,hidden_stress,mechanism_aliasing,observation_sparsity,horizon_pressure,repair_cost_pressure,scenario_hardness
deformable_bin_pick,occlusion_persistence,in_distribution,0.340000,0.480000,0.600000,0.640000,0.080000,0.060000,0.425600
deformable_bin_pick,occlusion_persistence,hidden_mechanism,0.340000,0.480000,0.690000,0.860000,0.260000,0.240000,0.505800
deformable_bin_pick,occlusion_persistence,long_horizon,0.340000,0.480000,0.672000,0.820000,0.640000,0.360000,0.541360
deformable_bin_pick,occlusion_persistence,sparse_observation,0.340000,0.480000,0.714000,1.000000,0.400000,0.420000,0.557320
deformable_bin_pick,occlusion_persistence,combined_stress,0.340000,0.480000,0.792000,1.000000,0.720000,0.680000,0.618960
deformable_bin_pick,contact_mode_flip,in_distribution,0.340000,0.560000,0.720000,0.260000,0.080000,0.060000,0.405600
deformable_bin_pick,contact_mode_flip,hidden_mechanism,0.340000,0.560000,0.810000,0.480000,0.260000,0.240000,0.485800
deformable_bin_pick,contact_mode_flip,long_horizon,0.340000,0.560000,0.792000,0.440000,0.640000,0.360000,0.521360
deformable_bin_pick,contact_mode_flip,sparse_observation,0.340000,0.560000,0.834000,0.920000,0.400000,0.420000,0.585320
deformable_bin_pick,contact_mode_flip,combined_stress,0.340000,0.560000,0.912000,0.960000,0.720000,0.680000,0.653360
deformable_bin_pick,actuator_lag,in_distribution,0.340000,0.520000,0.540000,0.200000,0.080000,0.060000,0.354000
deformable_bin_pick,actuator_lag,hidden_mechanism,0.340000,0.520000,0.630000,0.420000,0.260000,0.240000,0.434200
deformable_bin_pick,actuator_lag,long_horizon,0.340000,0.520000,0.612000,0.380000,0.640000,0.360000,0.469760
deformable_bin_pick,actuator_lag,sparse_observation,0.340000,0.520000,0.654000,0.860000,0.400000,0.420000,0.533720
deformable_bin_pick,actuator_lag,combined_stress,0.340000,0.520000,0.732000,0.900000,0.720000,0.680000,0.601760
deformable_bin_pick,payload_shift,in_distribution,0.340000,0.620000,0.580000,0.180000,0.080000,0.060000,0.382000
deformable_bin_pick,payload_shift,hidden_mechanism,0.340000,0.620000,0.670000,0.400000,0.260000,0.240000,0.462200
deformable_bin_pick,payload_shift,long_horizon,0.340000,0.620000,0.652000,0.360000,0.640000,0.360000,0.497760
deformable_bin_pick,payload_shift,sparse_observation,0.340000,0.620000,0.694000,0.840000,0.400000,0.420000,0.561720
deformable_bin_pick,payload_shift,combined_stress,0.340000,0.620000,0.772000,0.880000,0.720000,0.680000,0.629760
deformable_bin_pick,combined_hidden_mechanisms,in_distribution,0.340000,0.880000,0.960000,0.580000,0.080000,0.060000,0.576800
deformable_bin_pick,combined_hidden_mechanisms,hidden_mechanism,0.340000,0.880000,1.000000,0.800000,0.260000,0.240000,0.648000
deformable_bin_pick,combined_hidden_mechanisms,long_horizon,0.340000,0.880000,1.000000,0.760000,0.640000,0.360000,0.686800
deformable_bin_pick,combined_hidden_mechanisms,sparse_observation,0.340000,0.880000,1.000000,1.000000,0.400000,0.420000,0.704800
deformable_bin_pick,combined_hidden_mechanisms,combined_stress,0.340000,0.880000,1.000000,1.000000,0.720000,0.680000,0.752400
occluded_push_recovery,nominal,in_distribution,0.310000,0.040000,0.292000,0.090000,0.080000,0.060000,0.168760
occluded_push_recovery,nominal,hidden_mechanism,0.310000,0.040000,0.382000,0.310000,0.260000,0.240000,0.248960
occluded_push_recovery,nominal,long_horizon,0.310000,0.040000,0.364000,0.270000,0.640000,0.360000,0.284520
occluded_push_recovery,nominal,sparse_observation,0.310000,0.040000,0.406000,0.750000,0.400000,0.420000,0.348480
occluded_push_recovery,nominal,combined_stress,0.310000,0.040000,0.484000,0.790000,0.720000,0.680000,0.416520
occluded_push_recovery,friction_shift,in_distribution,0.310000,0.340000,0.472000,0.140000,0.080000,0.060000,0.281160
occluded_push_recovery,friction_shift,hidden_mechanism,0.310000,0.340000,0.562000,0.360000,0.260000,0.240000,0.361360
occluded_push_recovery,friction_shift,long_horizon,0.310000,0.340000,0.544000,0.320000,0.640000,0.360000,0.396920
occluded_push_recovery,friction_shift,sparse_observation,0.310000,0.340000,0.586000,0.800000,0.400000,0.420000,0.460880
occluded_push_recovery,friction_shift,combined_stress,0.310000,0.340000,0.664000,0.840000,0.720000,0.680000,0.528920
occluded_push_recovery,compliance_shift,in_distribution,0.310000,0.420000,0.552000,0.160000,0.080000,0.060000,0.317960
occluded_push_recovery,compliance_shift,hidden_mechanism,0.310000,0.420000,0.642000,0.380000,0.260000,0.240000,0.398160
occluded_push_recovery,compliance_shift,long_horizon,0.310000,0.420000,0.624000,0.340000,0.640000,0.360000,0.433720
occluded_push_recovery,compliance_shift,sparse_observation,0.310000,0.420000,0.666000,0.820000,0.400000,0.420000,0.497680
occluded_push_recovery,compliance_shift,combined_stress,0.310000,0.420000,0.744000,0.860000,0.720000,0.680000,0.565720
occluded_push_recovery,occlusion_persistence,in_distribution,0.310000,0.480000,0.672000,0.640000,0.080000,0.060000,0.430760
occluded_push_recovery,occlusion_persistence,hidden_mechanism,0.310000,0.480000,0.762000,0.860000,0.260000,0.240000,0.510960
occluded_push_recovery,occlusion_persistence,long_horizon,0.310000,0.480000,0.744000,0.820000,0.640000,0.360000,0.546520
occluded_push_recovery,occlusion_persistence,sparse_observation,0.310000,0.480000,0.786000,1.000000,0.400000,0.420000,0.562480
occluded_push_recovery,occlusion_persistence,combined_stress,0.310000,0.480000,0.864000,1.000000,0.720000,0.680000,0.624120
occluded_push_recovery,contact_mode_flip,in_distribution,0.310000,0.560000,0.792000,0.260000,0.080000,0.060000,0.410760
occluded_push_recovery,contact_mode_flip,hidden_mechanism,0.310000,0.560000,0.882000,0.480000,0.260000,0.240000,0.490960
occluded_push_recovery,contact_mode_flip,long_horizon,0.310000,0.560000,0.864000,0.440000,0.640000,0.360000,0.526520
occluded_push_recovery,contact_mode_flip,sparse_observation,0.310000,0.560000,0.906000,0.920000,0.400000,0.420000,0.590480
occluded_push_recovery,contact_mode_flip,combined_stress,0.310000,0.560000,0.984000,0.960000,0.720000,0.680000,0.658520
occluded_push_recovery,actuator_lag,in_distribution,0.310000,0.520000,0.612000,0.200000,0.080000,0.060000,0.359160
occluded_push_recovery,actuator_lag,hidden_mechanism,0.310000,0.520000,0.702000,0.420000,0.260000,0.240000,0.439360
occluded_push_recovery,actuator_lag,long_horizon,0.310000,0.520000,0.684000,0.380000,0.640000,0.360000,0.474920
occluded_push_recovery,actuator_lag,sparse_observation,0.310000,0.520000,0.726000,0.860000,0.400000,0.420000,0.538880
occluded_push_recovery,actuator_lag,combined_stress,0.310000,0.520000,0.804000,0.900000,0.720000,0.680000,0.606920
occluded_push_recovery,payload_shift,in_distribution,0.310000,0.620000,0.652000,0.180000,0.080000,0.060000,0.387160
occluded_push_recovery,payload_shift,hidden_mechanism,0.310000,0.620000,0.742000,0.400000,0.260000,0.240000,0.467360
occluded_push_recovery,payload_shift,long_horizon,0.310000,0.620000,0.724000,0.360000,0.640000,0.360000,0.502920
occluded_push_recovery,payload_shift,sparse_observation,0.310000,0.620000,0.766000,0.840000,0.400000,0.420000,0.566880
occluded_push_recovery,payload_shift,combined_stress,0.310000,0.620000,0.844000,0.880000,0.720000,0.680000,0.634920
occluded_push_recovery,combined_hidden_mechanisms,in_distribution,0.310000,0.880000,1.000000,0.580000,0.080000,0.060000,0.576200
occluded_push_recovery,combined_hidden_mechanisms,hidden_mechanism,0.310000,0.880000,1.000000,0.800000,0.260000,0.240000,0.640200
occluded_push_recovery,combined_hidden_mechanisms,long_horizon,0.310000,0.880000,1.000000,0.760000,0.640000,0.360000,0.679000
occluded_push_recovery,combined_hidden_mechanisms,sparse_observation,0.310000,0.880000,1.000000,1.000000,0.400000,0.420000,0.697000
occluded_push_recovery,combined_hidden_mechanisms,combined_stress,0.310000,0.880000,1.000000,1.000000,0.720000,0.680000,0.744600
payload_handover,nominal,in_distribution,0.290000,0.040000,0.204000,0.090000,0.080000,0.060000,0.147720
payload_handover,nominal,hidden_mechanism,0.290000,0.040000,0.294000,0.310000,0.260000,0.240000,0.227920
payload_handover,nominal,long_horizon,0.290000,0.040000,0.276000,0.270000,0.640000,0.360000,0.263480
payload_handover,nominal,sparse_observation,0.290000,0.040000,0.318000,0.750000,0.400000,0.420000,0.327440
payload_handover,nominal,combined_stress,0.290000,0.040000,0.396000,0.790000,0.720000,0.680000,0.395480
payload_handover,friction_shift,in_distribution,0.290000,0.340000,0.384000,0.140000,0.080000,0.060000,0.260120
payload_handover,friction_shift,hidden_mechanism,0.290000,0.340000,0.474000,0.360000,0.260000,0.240000,0.340320
payload_handover,friction_shift,long_horizon,0.290000,0.340000,0.456000,0.320000,0.640000,0.360000,0.375880
payload_handover,friction_shift,sparse_observation,0.290000,0.340000,0.498000,0.800000,0.400000,0.420000,0.439840
payload_handover,friction_shift,combined_stress,0.290000,0.340000,0.576000,0.840000,0.720000,0.680000,0.507880
payload_handover,compliance_shift,in_distribution,0.290000,0.420000,0.464000,0.160000,0.080000,0.060000,0.296920
payload_handover,compliance_shift,hidden_mechanism,0.290000,0.420000,0.554000,0.380000,0.260000,0.240000,0.377120
payload_handover,compliance_shift,long_horizon,0.290000,0.420000,0.536000,0.340000,0.640000,0.360000,0.412680
payload_handover,compliance_shift,sparse_observation,0.290000,0.420000,0.578000,0.820000,0.400000,0.420000,0.476640
payload_handover,compliance_shift,combined_stress,0.290000,0.420000,0.656000,0.860000,0.720000,0.680000,0.544680
payload_handover,occlusion_persistence,in_distribution,0.290000,0.480000,0.584000,0.640000,0.080000,0.060000,0.409720
payload_handover,occlusion_persistence,hidden_mechanism,0.290000,0.480000,0.674000,0.860000,0.260000,0.240000,0.489920
payload_handover,occlusion_persistence,long_horizon,0.290000,0.480000,0.656000,0.820000,0.640000,0.360000,0.525480
payload_handover,occlusion_persistence,sparse_observation,0.290000,0.480000,0.698000,1.000000,0.400000,0.420000,0.541440
payload_handover,occlusion_persistence,combined_stress,0.290000,0.480000,0.776000,1.000000,0.720000,0.680000,0.603080
payload_handover,contact_mode_flip,in_distribution,0.290000,0.560000,0.704000,0.260000,0.080000,0.060000,0.389720
payload_handover,contact_mode_flip,hidden_mechanism,0.290000,0.560000,0.794000,0.480000,0.260000,0.240000,0.469920
payload_handover,contact_mode_flip,long_horizon,0.290000,0.560000,0.776000,0.440000,0.640000,0.360000,0.505480
payload_handover,contact_mode_flip,sparse_observation,0.290000,0.560000,0.818000,0.920000,0.400000,0.420000,0.569440
payload_handover,contact_mode_flip,combined_stress,0.290000,0.560000,0.896000,0.960000,0.720000,0.680000,0.637480
payload_handover,actuator_lag,in_distribution,0.290000,0.520000,0.524000,0.200000,0.080000,0.060000,0.338120
payload_handover,actuator_lag,hidden_mechanism,0.290000,0.520000,0.614000,0.420000,0.260000,0.240000,0.418320
payload_handover,actuator_lag,long_horizon,0.290000,0.520000,0.596000,0.380000,0.640000,0.360000,0.453880
payload_handover,actuator_lag,sparse_observation,0.290000,0.520000,0.638000,0.860000,0.400000,0.420000,0.517840
payload_handover,actuator_lag,combined_stress,0.290000,0.520000,0.716000,0.900000,0.720000,0.680000,0.585880
payload_handover,payload_shift,in_distribution,0.290000,0.620000,0.564000,0.180000,0.080000,0.060000,0.366120
payload_handover,payload_shift,hidden_mechanism,0.290000,0.620000,0.654000,0.400000,0.260000,0.240000,0.446320
payload_handover,payload_shift,long_horizon,0.290000,0.620000,0.636000,0.360000,0.640000,0.360000,0.481880
payload_handover,payload_shift,sparse_observation,0.290000,0.620000,0.678000,0.840000,0.400000,0.420000,0.545840
payload_handover,payload_shift,combined_stress,0.290000,0.620000,0.756000,0.880000,0.720000,0.680000,0.613880
payload_handover,combined_hidden_mechanisms,in_distribution,0.290000,0.880000,0.944000,0.580000,0.080000,0.060000,0.560920
payload_handover,combined_hidden_mechanisms,hidden_mechanism,0.290000,0.880000,1.000000,0.800000,0.260000,0.240000,0.635000
payload_handover,combined_hidden_mechanisms,long_horizon,0.290000,0.880000,1.000000,0.760000,0.640000,0.360000,0.673800
payload_handover,combined_hidden_mechanisms,sparse_observation,0.290000,0.880000,1.000000,1.000000,0.400000,0.420000,0.691800
payload_handover,combined_hidden_mechanisms,combined_stress,0.290000,0.880000,1.000000,1.000000,0.720000,0.680000,0.739400
peg_insert_with_lag,nominal,in_distribution,0.380000,0.040000,0.244000,0.090000,0.080000,0.060000,0.178320
peg_insert_with_lag,nominal,hidden_mechanism,0.380000,0.040000,0.334000,0.310000,0.260000,0.240000,0.258520
peg_insert_with_lag,nominal,long_horizon,0.380000,0.040000,0.316000,0.270000,0.640000,0.360000,0.294080
peg_insert_with_lag,nominal,sparse_observation,0.380000,0.040000,0.358000,0.750000,0.400000,0.420000,0.358040
peg_insert_with_lag,nominal,combined_stress,0.380000,0.040000,0.436000,0.790000,0.720000,0.680000,0.426080
peg_insert_with_lag,friction_shift,in_distribution,0.380000,0.340000,0.424000,0.140000,0.080000,0.060000,0.290720
peg_insert_with_lag,friction_shift,hidden_mechanism,0.380000,0.340000,0.514000,0.360000,0.260000,0.240000,0.370920
peg_insert_with_lag,friction_shift,long_horizon,0.380000,0.340000,0.496000,0.320000,0.640000,0.360000,0.406480
peg_insert_with_lag,friction_shift,sparse_observation,0.380000,0.340000,0.538000,0.800000,0.400000,0.420000,0.470440
peg_insert_with_lag,friction_shift,combined_stress,0.380000,0.340000,0.616000,0.840000,0.720000,0.680000,0.538480
peg_insert_with_lag,compliance_shift,in_distribution,0.380000,0.420000,0.504000,0.160000,0.080000,0.060000,0.327520
peg_insert_with_lag,compliance_shift,hidden_mechanism,0.380000,0.420000,0.594000,0.380000,0.260000,0.240000,0.407720
peg_insert_with_lag,compliance_shift,long_horizon,0.380000,0.420000,0.576000,0.340000,0.640000,0.360000,0.443280
peg_insert_with_lag,compliance_shift,sparse_observation,0.380000,0.420000,0.618000,0.820000,0.400000,0.420000,0.507240
peg_insert_with_lag,compliance_shift,combined_stress,0.380000,0.420000,0.696000,0.860000,0.720000,0.680000,0.575280
peg_insert_with_lag,occlusion_persistence,in_distribution,0.380000,0.480000,0.624000,0.640000,0.080000,0.060000,0.440320
peg_insert_with_lag,occlusion_persistence,hidden_mechanism,0.380000,0.480000,0.714000,0.860000,0.260000,0.240000,0.520520
peg_insert_with_lag,occlusion_persistence,long_horizon,0.380000,0.480000,0.696000,0.820000,0.640000,0.360000,0.556080
peg_insert_with_lag,occlusion_persistence,sparse_observation,0.380000,0.480000,0.738000,1.000000,0.400000,0.420000,0.572040
peg_insert_with_lag,occlusion_persistence,combined_stress,0.380000,0.480000,0.816000,1.000000,0.720000,0.680000,0.633680
peg_insert_with_lag,contact_mode_flip,in_distribution,0.380000,0.560000,0.744000,0.260000,0.080000,0.060000,0.420320
peg_insert_with_lag,contact_mode_flip,hidden_mechanism,0.380000,0.560000,0.834000,0.480000,0.260000,0.240000,0.500520
peg_insert_with_lag,contact_mode_flip,long_horizon,0.380000,0.560000,0.816000,0.440000,0.640000,0.360000,0.536080
peg_insert_with_lag,contact_mode_flip,sparse_observation,0.380000,0.560000,0.858000,0.920000,0.400000,0.420000,0.600040
peg_insert_with_lag,contact_mode_flip,combined_stress,0.380000,0.560000,0.936000,0.960000,0.720000,0.680000,0.668080
peg_insert_with_lag,actuator_lag,in_distribution,0.380000,0.520000,0.564000,0.200000,0.080000,0.060000,0.368720
peg_insert_with_lag,actuator_lag,hidden_mechanism,0.380000,0.520000,0.654000,0.420000,0.260000,0.240000,0.448920
peg_insert_with_lag,actuator_lag,long_horizon,0.380000,0.520000,0.636000,0.380000,0.640000,0.360000,0.484480
peg_insert_with_lag,actuator_lag,sparse_observation,0.380000,0.520000,0.678000,0.860000,0.400000,0.420000,0.548440
peg_insert_with_lag,actuator_lag,combined_stress,0.380000,0.520000,0.756000,0.900000,0.720000,0.680000,0.616480
peg_insert_with_lag,payload_shift,in_distribution,0.380000,0.620000,0.604000,0.180000,0.080000,0.060000,0.396720
peg_insert_with_lag,payload_shift,hidden_mechanism,0.380000,0.620000,0.694000,0.400000,0.260000,0.240000,0.476920
peg_insert_with_lag,payload_shift,long_horizon,0.380000,0.620000,0.676000,0.360000,0.640000,0.360000,0.512480
peg_insert_with_lag,payload_shift,sparse_observation,0.380000,0.620000,0.718000,0.840000,0.400000,0.420000,0.576440
peg_insert_with_lag,payload_shift,combined_stress,0.380000,0.620000,0.796000,0.880000,0.720000,0.680000,0.644480
peg_insert_with_lag,combined_hidden_mechanisms,in_distribution,0.380000,0.880000,0.984000,0.580000,0.080000,0.060000,0.591520
peg_insert_with_lag,combined_hidden_mechanisms,hidden_mechanism,0.380000,0.880000,1.000000,0.800000,0.260000,0.240000,0.658400
peg_insert_with_lag,combined_hidden_mechanisms,long_horizon,0.380000,0.880000,1.000000,0.760000,0.640000,0.360000,0.697200
peg_insert_with_lag,combined_hidden_mechanisms,sparse_observation,0.380000,0.880000,1.000000,1.000000,0.400000,0.420000,0.715200
peg_insert_with_lag,combined_hidden_mechanisms,combined_stress,0.380000,0.880000,1.000000,1.000000,0.720000,0.680000,0.762800
cluttered_navigation_grasp,nominal,in_distribution,0.360000,0.040000,0.268000,0.090000,0.080000,0.060000,0.177440
cluttered_navigation_grasp,nominal,hidden_mechanism,0.360000,0.040000,0.358000,0.310000,0.260000,0.240000,0.257640
cluttered_navigation_grasp,nominal,long_horizon,0.360000,0.040000,0.340000,0.270000,0.640000,0.360000,0.293200
cluttered_navigation_grasp,nominal,sparse_observation,0.360000,0.040000,0.382000,0.750000,0.400000,0.420000,0.357160
cluttered_navigation_grasp,nominal,combined_stress,0.360000,0.040000,0.460000,0.790000,0.720000,0.680000,0.425200
cluttered_navigation_grasp,friction_shift,in_distribution,0.360000,0.340000,0.448000,0.140000,0.080000,0.060000,0.289840
cluttered_navigation_grasp,friction_shift,hidden_mechanism,0.360000,0.340000,0.538000,0.360000,0.260000,0.240000,0.370040
cluttered_navigation_grasp,friction_shift,long_horizon,0.360000,0.340000,0.520000,0.320000,0.640000,0.360000,0.405600
cluttered_navigation_grasp,friction_shift,sparse_observation,0.360000,0.340000,0.562000,0.800000,0.400000,0.420000,0.469560
cluttered_navigation_grasp,friction_shift,combined_stress,0.360000,0.340000,0.640000,0.840000,0.720000,0.680000,0.537600
cluttered_navigation_grasp,compliance_shift,in_distribution,0.360000,0.420000,0.528000,0.160000,0.080000,0.060000,0.326640
cluttered_navigation_grasp,compliance_shift,hidden_mechanism,0.360000,0.420000,0.618000,0.380000,0.260000,0.240000,0.406840
cluttered_navigation_grasp,compliance_shift,long_horizon,0.360000,0.420000,0.600000,0.340000,0.640000,0.360000,0.442400
cluttered_navigation_grasp,compliance_shift,sparse_observation,0.360000,0.420000,0.642000,0.820000,0.400000,0.420000,0.506360
cluttered_navigation_grasp,compliance_shift,combined_stress,0.360000,0.420000,0.720000,0.860000,0.720000,0.680000,0.574400
cluttered_navigation_grasp,occlusion_persistence,in_distribution,0.360000,0.480000,0.648000,0.640000,0.080000,0.060000,0.439440
cluttered_navigation_grasp,occlusion_persistence,hidden_mechanism,0.360000,0.480000,0.738000,0.860000,0.260000,0.240000,0.519640
cluttered_navigation_grasp,occlusion_persistence,long_horizon,0.360000,0.480000,0.720000,0.820000,0.640000,0.360000,0.555200
cluttered_navigation_grasp,occlusion_persistence,sparse_observation,0.360000,0.480000,0.762000,1.000000,0.400000,0.420000,0.571160
cluttered_navigation_grasp,occlusion_persistence,combined_stress,0.360000,0.480000,0.840000,1.000000,0.720000,0.680000,0.632800
cluttered_navigation_grasp,contact_mode_flip,in_distribution,0.360000,0.560000,0.768000,0.260000,0.080000,0.060000,0.419440
cluttered_navigation_grasp,contact_mode_flip,hidden_mechanism,0.360000,0.560000,0.858000,0.480000,0.260000,0.240000,0.499640
cluttered_navigation_grasp,contact_mode_flip,long_horizon,0.360000,0.560000,0.840000,0.440000,0.640000,0.360000,0.535200
cluttered_navigation_grasp,contact_mode_flip,sparse_observation,0.360000,0.560000,0.882000,0.920000,0.400000,0.420000,0.599160
cluttered_navigation_grasp,contact_mode_flip,combined_stress,0.360000,0.560000,0.960000,0.960000,0.720000,0.680000,0.667200
cluttered_navigation_grasp,actuator_lag,in_distribution,0.360000,0.520000,0.588000,0.200000,0.080000,0.060000,0.367840
cluttered_navigation_grasp,actuator_lag,hidden_mechanism,0.360000,0.520000,0.678000,0.420000,0.260000,0.240000,0.448040
cluttered_navigation_grasp,actuator_lag,long_horizon,0.360000,0.520000,0.660000,0.380000,0.640000,0.360000,0.483600
cluttered_navigation_grasp,actuator_lag,sparse_observation,0.360000,0.520000,0.702000,0.860000,0.400000,0.420000,0.547560
cluttered_navigation_grasp,actuator_lag,combined_stress,0.360000,0.520000,0.780000,0.900000,0.720000,0.680000,0.615600
cluttered_navigation_grasp,payload_shift,in_distribution,0.360000,0.620000,0.628000,0.180000,0.080000,0.060000,0.395840
cluttered_navigation_grasp,payload_shift,hidden_mechanism,0.360000,0.620000,0.718000,0.400000,0.260000,0.240000,0.476040
cluttered_navigation_grasp,payload_shift,long_horizon,0.360000,0.620000,0.700000,0.360000,0.640000,0.360000,0.511600
cluttered_navigation_grasp,payload_shift,sparse_observation,0.360000,0.620000,0.742000,0.840000,0.400000,0.420000,0.575560
