method,task,regime,split,seed,episodes,success_rate,mechanism_f1,invalid_repair_rate,repeat_failure_rate,damage_rate,diagnostic_probe_cost,calibration_error
observed_only_planner,drawer_contact_repair,nominal,long_horizon,3,72,0.472222,0.250154,0.304708,0.288983,0.105186,0.064693,0.119629
observed_only_planner,drawer_contact_repair,nominal,long_horizon,4,72,0.527778,0.271286,0.306531,0.290628,0.104614,0.059143,0.115664
observed_only_planner,drawer_contact_repair,nominal,long_horizon,5,72,0.583333,0.253499,0.298607,0.278348,0.107620,0.063083,0.120441
observed_only_planner,drawer_contact_repair,nominal,long_horizon,6,72,0.541667,0.258550,0.304180,0.280813,0.108232,0.057306,0.119491
observed_only_planner,drawer_contact_repair,nominal,sparse_observation,0,72,0.486111,0.220883,0.341407,0.312833,0.115706,0.065432,0.131890
observed_only_planner,drawer_contact_repair,nominal,sparse_observation,1,72,0.472222,0.246350,0.339990,0.312466,0.116256,0.056236,0.125036
observed_only_planner,drawer_contact_repair,nominal,sparse_observation,2,72,0.513889,0.208919,0.346937,0.313707,0.114541,0.057631,0.123276
observed_only_planner,drawer_contact_repair,nominal,sparse_observation,3,72,0.527778,0.262423,0.337684,0.314250,0.117223,0.064232,0.128764
observed_only_planner,drawer_contact_repair,nominal,sparse_observation,4,72,0.388889,0.215000,0.327890,0.312660,0.114087,0.062324,0.127702
observed_only_planner,drawer_contact_repair,nominal,sparse_observation,5,72,0.444444,0.223882,0.334192,0.312419,0.117766,0.060884,0.126509
observed_only_planner,drawer_contact_repair,nominal,sparse_observation,6,72,0.444444,0.227846,0.333783,0.309297,0.115423,0.062476,0.124478
observed_only_planner,drawer_contact_repair,nominal,combined_stress,0,72,0.416667,0.238247,0.342260,0.305617,0.107138,0.066574,0.129322
observed_only_planner,drawer_contact_repair,nominal,combined_stress,1,72,0.444444,0.218486,0.332566,0.320817,0.113669,0.059938,0.128937
observed_only_planner,drawer_contact_repair,nominal,combined_stress,2,72,0.555556,0.238252,0.335792,0.320406,0.119238,0.060775,0.128963
observed_only_planner,drawer_contact_repair,nominal,combined_stress,3,72,0.388889,0.223856,0.335398,0.308424,0.111819,0.068250,0.130308
observed_only_planner,drawer_contact_repair,nominal,combined_stress,4,72,0.500000,0.224279,0.333594,0.328312,0.115726,0.055708,0.128774
observed_only_planner,drawer_contact_repair,nominal,combined_stress,5,72,0.541667,0.230170,0.346978,0.314983,0.105865,0.058369,0.129165
observed_only_planner,drawer_contact_repair,nominal,combined_stress,6,72,0.500000,0.228471,0.339172,0.312923,0.112206,0.058362,0.126179
observed_only_planner,drawer_contact_repair,friction_shift,in_distribution,0,72,0.541667,0.261711,0.317211,0.299550,0.122759,0.050718,0.134894
observed_only_planner,drawer_contact_repair,friction_shift,in_distribution,1,72,0.527778,0.254358,0.326681,0.298791,0.116723,0.069793,0.137773
observed_only_planner,drawer_contact_repair,friction_shift,in_distribution,2,72,0.569444,0.244441,0.322476,0.309541,0.119040,0.055684,0.132262
observed_only_planner,drawer_contact_repair,friction_shift,in_distribution,3,72,0.583333,0.275938,0.328750,0.310188,0.119032,0.058178,0.133474
observed_only_planner,drawer_contact_repair,friction_shift,in_distribution,4,72,0.583333,0.263414,0.319704,0.301155,0.114667,0.064752,0.141952
observed_only_planner,drawer_contact_repair,friction_shift,in_distribution,5,72,0.583333,0.254050,0.336728,0.306583,0.116094,0.058627,0.134518
observed_only_planner,drawer_contact_repair,friction_shift,in_distribution,6,72,0.583333,0.251126,0.323541,0.309924,0.115026,0.061253,0.130684
observed_only_planner,drawer_contact_repair,friction_shift,hidden_mechanism,0,72,0.486111,0.241962,0.347349,0.325642,0.122360,0.070791,0.141636
observed_only_planner,drawer_contact_repair,friction_shift,hidden_mechanism,1,72,0.416667,0.234040,0.352212,0.328984,0.123333,0.065385,0.135762
observed_only_planner,drawer_contact_repair,friction_shift,hidden_mechanism,2,72,0.486111,0.241103,0.347539,0.323537,0.119784,0.070613,0.142258
observed_only_planner,drawer_contact_repair,friction_shift,hidden_mechanism,3,72,0.444444,0.241116,0.353229,0.334407,0.124365,0.066147,0.143960
observed_only_planner,drawer_contact_repair,friction_shift,hidden_mechanism,4,72,0.388889,0.226539,0.348617,0.323169,0.120713,0.061369,0.146308
observed_only_planner,drawer_contact_repair,friction_shift,hidden_mechanism,5,72,0.444444,0.215736,0.359312,0.330250,0.123750,0.059067,0.143245
observed_only_planner,drawer_contact_repair,friction_shift,hidden_mechanism,6,72,0.388889,0.239627,0.356035,0.328220,0.124289,0.063301,0.142200
observed_only_planner,drawer_contact_repair,friction_shift,long_horizon,0,72,0.486111,0.222465,0.350806,0.320364,0.119064,0.058427,0.134113
observed_only_planner,drawer_contact_repair,friction_shift,long_horizon,1,72,0.388889,0.252960,0.340113,0.327011,0.119560,0.064044,0.137272
observed_only_planner,drawer_contact_repair,friction_shift,long_horizon,2,72,0.430556,0.226349,0.349519,0.323450,0.116745,0.057677,0.138383
observed_only_planner,drawer_contact_repair,friction_shift,long_horizon,3,72,0.444444,0.244804,0.338380,0.324677,0.125255,0.062775,0.139991
observed_only_planner,drawer_contact_repair,friction_shift,long_horizon,4,72,0.416667,0.236047,0.341811,0.313127,0.115884,0.065028,0.132905
observed_only_planner,drawer_contact_repair,friction_shift,long_horizon,5,72,0.513889,0.254060,0.347937,0.316594,0.120804,0.065213,0.144632
observed_only_planner,drawer_contact_repair,friction_shift,long_horizon,6,72,0.388889,0.232495,0.345564,0.322912,0.118073,0.058090,0.136746
observed_only_planner,drawer_contact_repair,friction_shift,sparse_observation,0,72,0.333333,0.200317,0.380720,0.353560,0.133099,0.069307,0.150679
observed_only_planner,drawer_contact_repair,friction_shift,sparse_observation,1,72,0.555556,0.194540,0.375899,0.359088,0.125958,0.070777,0.144197
observed_only_planner,drawer_contact_repair,friction_shift,sparse_observation,2,72,0.472222,0.201931,0.376582,0.355324,0.134806,0.072923,0.147147
observed_only_planner,drawer_contact_repair,friction_shift,sparse_observation,3,72,0.388889,0.207134,0.376467,0.358310,0.126803,0.062363,0.146276
observed_only_planner,drawer_contact_repair,friction_shift,sparse_observation,4,72,0.416667,0.197661,0.379462,0.347528,0.133166,0.068227,0.146632
observed_only_planner,drawer_contact_repair,friction_shift,sparse_observation,5,72,0.472222,0.219394,0.376546,0.361165,0.131835,0.070807,0.148061
observed_only_planner,drawer_contact_repair,friction_shift,sparse_observation,6,72,0.430556,0.189329,0.369549,0.353578,0.130791,0.066402,0.153447
observed_only_planner,drawer_contact_repair,friction_shift,combined_stress,0,72,0.416667,0.192945,0.378108,0.367476,0.131411,0.074742,0.147471
observed_only_planner,drawer_contact_repair,friction_shift,combined_stress,1,72,0.361111,0.180257,0.371622,0.353169,0.136564,0.073604,0.153296
observed_only_planner,drawer_contact_repair,friction_shift,combined_stress,2,72,0.361111,0.200080,0.373478,0.353446,0.128210,0.071540,0.147548
observed_only_planner,drawer_contact_repair,friction_shift,combined_stress,3,72,0.347222,0.205506,0.376836,0.352931,0.124618,0.063699,0.147166
observed_only_planner,drawer_contact_repair,friction_shift,combined_stress,4,72,0.347222,0.193143,0.378597,0.362520,0.132053,0.076063,0.140382
observed_only_planner,drawer_contact_repair,friction_shift,combined_stress,5,72,0.402778,0.210609,0.381847,0.362302,0.126406,0.070273,0.146587
observed_only_planner,drawer_contact_repair,friction_shift,combined_stress,6,72,0.388889,0.174373,0.379185,0.360133,0.131439,0.067361,0.149425
observed_only_planner,drawer_contact_repair,compliance_shift,in_distribution,0,72,0.430556,0.247643,0.318018,0.313591,0.119754,0.066277,0.136101
observed_only_planner,drawer_contact_repair,compliance_shift,in_distribution,1,72,0.527778,0.247565,0.331642,0.314633,0.121166,0.064383,0.138562
observed_only_planner,drawer_contact_repair,compliance_shift,in_distribution,2,72,0.500000,0.261669,0.339067,0.314720,0.119696,0.062890,0.136394
observed_only_planner,drawer_contact_repair,compliance_shift,in_distribution,3,72,0.444444,0.249789,0.331940,0.305377,0.121847,0.062403,0.131722
observed_only_planner,drawer_contact_repair,compliance_shift,in_distribution,4,72,0.500000,0.239425,0.336346,0.312487,0.120992,0.064504,0.136502
observed_only_planner,drawer_contact_repair,compliance_shift,in_distribution,5,72,0.583333,0.249623,0.335324,0.310693,0.122183,0.057841,0.140450
observed_only_planner,drawer_contact_repair,compliance_shift,in_distribution,6,72,0.458333,0.255493,0.330533,0.317851,0.120951,0.053525,0.142965
observed_only_planner,drawer_contact_repair,compliance_shift,hidden_mechanism,0,72,0.430556,0.226947,0.360505,0.333557,0.124605,0.063655,0.143898
observed_only_planner,drawer_contact_repair,compliance_shift,hidden_mechanism,1,72,0.416667,0.227663,0.360327,0.330800,0.127969,0.061574,0.138355
observed_only_planner,drawer_contact_repair,compliance_shift,hidden_mechanism,2,72,0.527778,0.224380,0.348302,0.328030,0.119085,0.062660,0.144374
observed_only_planner,drawer_contact_repair,compliance_shift,hidden_mechanism,3,72,0.444444,0.232776,0.360238,0.332712,0.129025,0.064863,0.142383
observed_only_planner,drawer_contact_repair,compliance_shift,hidden_mechanism,4,72,0.472222,0.240682,0.358707,0.337363,0.130997,0.064966,0.146830
observed_only_planner,drawer_contact_repair,compliance_shift,hidden_mechanism,5,72,0.430556,0.214650,0.354290,0.332019,0.129042,0.060515,0.147876
observed_only_planner,drawer_contact_repair,compliance_shift,hidden_mechanism,6,72,0.416667,0.219787,0.352410,0.344339,0.125009,0.064518,0.141050
observed_only_planner,drawer_contact_repair,compliance_shift,long_horizon,0,72,0.388889,0.237119,0.355616,0.344849,0.127322,0.068273,0.147420
observed_only_planner,drawer_contact_repair,compliance_shift,long_horizon,1,72,0.486111,0.205570,0.353520,0.337777,0.128824,0.062415,0.139071
observed_only_planner,drawer_contact_repair,compliance_shift,long_horizon,2,72,0.388889,0.239394,0.348828,0.336457,0.118592,0.059259,0.144153
observed_only_planner,drawer_contact_repair,compliance_shift,long_horizon,3,72,0.513889,0.235048,0.367942,0.326960,0.121978,0.066907,0.143673
observed_only_planner,drawer_contact_repair,compliance_shift,long_horizon,4,72,0.305556,0.238346,0.347233,0.316653,0.126854,0.063248,0.142295
observed_only_planner,drawer_contact_repair,compliance_shift,long_horizon,5,72,0.416667,0.240629,0.359004,0.343528,0.126312,0.066614,0.142214
observed_only_planner,drawer_contact_repair,compliance_shift,long_horizon,6,72,0.430556,0.229675,0.364483,0.334958,0.128388,0.066245,0.144596
observed_only_planner,drawer_contact_repair,compliance_shift,sparse_observation,0,72,0.472222,0.205238,0.376265,0.360296,0.133957,0.071260,0.156191
observed_only_planner,drawer_contact_repair,compliance_shift,sparse_observation,1,72,0.430556,0.196188,0.382382,0.358807,0.133791,0.072765,0.150906
observed_only_planner,drawer_contact_repair,compliance_shift,sparse_observation,2,72,0.430556,0.194832,0.379860,0.364861,0.134075,0.077374,0.153328
observed_only_planner,drawer_contact_repair,compliance_shift,sparse_observation,3,72,0.361111,0.206936,0.385349,0.365916,0.132743,0.067440,0.147024
observed_only_planner,drawer_contact_repair,compliance_shift,sparse_observation,4,72,0.444444,0.187259,0.389111,0.363214,0.129646,0.072993,0.148269
observed_only_planner,drawer_contact_repair,compliance_shift,sparse_observation,5,72,0.416667,0.195500,0.390831,0.364953,0.133933,0.075003,0.152460
observed_only_planner,drawer_contact_repair,compliance_shift,sparse_observation,6,72,0.430556,0.185097,0.381081,0.349619,0.126338,0.072556,0.151778
observed_only_planner,drawer_contact_repair,compliance_shift,combined_stress,0,72,0.402778,0.203857,0.385465,0.361075,0.131196,0.065297,0.148503
observed_only_planner,drawer_contact_repair,compliance_shift,combined_stress,1,72,0.277778,0.213557,0.392947,0.368017,0.129798,0.073526,0.149659
observed_only_planner,drawer_contact_repair,compliance_shift,combined_stress,2,72,0.305556,0.178639,0.382762,0.360274,0.132514,0.059371,0.156031
observed_only_planner,drawer_contact_repair,compliance_shift,combined_stress,3,72,0.333333,0.192546,0.389947,0.365383,0.136909,0.067809,0.157642
observed_only_planner,drawer_contact_repair,compliance_shift,combined_stress,4,72,0.375000,0.187253,0.385913,0.367190,0.132297,0.068587,0.152292
observed_only_planner,drawer_contact_repair,compliance_shift,combined_stress,5,72,0.361111,0.181940,0.384752,0.367508,0.129597,0.068511,0.150031
observed_only_planner,drawer_contact_repair,compliance_shift,combined_stress,6,72,0.333333,0.211013,0.386959,0.366261,0.127817,0.076813,0.154148
observed_only_planner,drawer_contact_repair,occlusion_persistence,in_distribution,0,72,0.583333,0.272271,0.340668,0.315292,0.122955,0.055260,0.141279
observed_only_planner,drawer_contact_repair,occlusion_persistence,in_distribution,1,72,0.388889,0.257871,0.335675,0.318490,0.121061,0.057958,0.136148
observed_only_planner,drawer_contact_repair,occlusion_persistence,in_distribution,2,72,0.472222,0.253597,0.328788,0.314956,0.119751,0.062923,0.138970
observed_only_planner,drawer_contact_repair,occlusion_persistence,in_distribution,3,72,0.527778,0.252602,0.329610,0.313668,0.125327,0.063933,0.143311
observed_only_planner,drawer_contact_repair,occlusion_persistence,in_distribution,4,72,0.583333,0.252095,0.335495,0.326256,0.117719,0.069496,0.144620
observed_only_planner,drawer_contact_repair,occlusion_persistence,in_distribution,5,72,0.500000,0.235689,0.333882,0.319090,0.117759,0.056997,0.133873
observed_only_planner,drawer_contact_repair,occlusion_persistence,in_distribution,6,72,0.500000,0.235230,0.338043,0.316140,0.123001,0.064730,0.144465
observed_only_planner,drawer_contact_repair,occlusion_persistence,hidden_mechanism,0,72,0.402778,0.218616,0.361838,0.348967,0.123945,0.061657,0.146818
observed_only_planner,drawer_contact_repair,occlusion_persistence,hidden_mechanism,1,72,0.472222,0.232556,0.359611,0.347204,0.126188,0.070223,0.147928
observed_only_planner,drawer_contact_repair,occlusion_persistence,hidden_mechanism,2,72,0.486111,0.215217,0.359200,0.337927,0.130287,0.075318,0.145064
observed_only_planner,drawer_contact_repair,occlusion_persistence,hidden_mechanism,3,72,0.430556,0.207023,0.364045,0.343795,0.122951,0.064993,0.146234
observed_only_planner,drawer_contact_repair,occlusion_persistence,hidden_mechanism,4,72,0.444444,0.210115,0.355189,0.341656,0.130946,0.061613,0.146727
observed_only_planner,drawer_contact_repair,occlusion_persistence,hidden_mechanism,5,72,0.430556,0.219329,0.365038,0.346786,0.123472,0.070022,0.151960
observed_only_planner,drawer_contact_repair,occlusion_persistence,hidden_mechanism,6,72,0.458333,0.236595,0.348600,0.341397,0.124346,0.066440,0.148637
observed_only_planner,drawer_contact_repair,occlusion_persistence,long_horizon,0,72,0.430556,0.226605,0.354035,0.348901,0.124565,0.065631,0.143890
observed_only_planner,drawer_contact_repair,occlusion_persistence,long_horizon,1,72,0.430556,0.218051,0.357147,0.340565,0.126698,0.060497,0.150724
observed_only_planner,drawer_contact_repair,occlusion_persistence,long_horizon,2,72,0.416667,0.250776,0.356617,0.329844,0.122871,0.064863,0.144953
observed_only_planner,drawer_contact_repair,occlusion_persistence,long_horizon,3,72,0.500000,0.221083,0.354754,0.332255,0.127439,0.065179,0.141373
observed_only_planner,drawer_contact_repair,occlusion_persistence,long_horizon,4,72,0.361111,0.232735,0.353387,0.338589,0.135892,0.066053,0.145089
observed_only_planner,drawer_contact_repair,occlusion_persistence,long_horizon,5,72,0.444444,0.232234,0.361710,0.333138,0.128159,0.067466,0.139777
observed_only_planner,drawer_contact_repair,occlusion_persistence,long_horizon,6,72,0.319444,0.225943,0.352314,0.329932,0.125370,0.057451,0.141555
observed_only_planner,drawer_contact_repair,occlusion_persistence,sparse_observation,0,72,0.388889,0.204076,0.388971,0.364135,0.134210,0.066236,0.154003
observed_only_planner,drawer_contact_repair,occlusion_persistence,sparse_observation,1,72,0.291667,0.211484,0.390156,0.358217,0.132789,0.065898,0.150117
observed_only_planner,drawer_contact_repair,occlusion_persistence,sparse_observation,2,72,0.375000,0.218558,0.384128,0.362866,0.131415,0.070416,0.155068
observed_only_planner,drawer_contact_repair,occlusion_persistence,sparse_observation,3,72,0.319444,0.201027,0.382837,0.365648,0.127225,0.067850,0.152450
observed_only_planner,drawer_contact_repair,occlusion_persistence,sparse_observation,4,72,0.347222,0.195011,0.395596,0.366931,0.135335,0.071537,0.150786
observed_only_planner,drawer_contact_repair,occlusion_persistence,sparse_observation,5,72,0.388889,0.206335,0.373668,0.363496,0.133367,0.067559,0.152094
observed_only_planner,drawer_contact_repair,occlusion_persistence,sparse_observation,6,72,0.361111,0.205755,0.381860,0.367673,0.134342,0.064396,0.156420
observed_only_planner,drawer_contact_repair,occlusion_persistence,combined_stress,0,72,0.277778,0.187980,0.391535,0.373219,0.141245,0.066238,0.155968
observed_only_planner,drawer_contact_repair,occlusion_persistence,combined_stress,1,72,0.250000,0.183652,0.387661,0.362917,0.133421,0.067018,0.155281
observed_only_planner,drawer_contact_repair,occlusion_persistence,combined_stress,2,72,0.375000,0.201227,0.395215,0.376632,0.134767,0.068834,0.157120
observed_only_planner,drawer_contact_repair,occlusion_persistence,combined_stress,3,72,0.291667,0.173572,0.379590,0.360285,0.138289,0.065433,0.153921
observed_only_planner,drawer_contact_repair,occlusion_persistence,combined_stress,4,72,0.291667,0.205124,0.389647,0.376588,0.134934,0.073020,0.151897
observed_only_planner,drawer_contact_repair,occlusion_persistence,combined_stress,5,72,0.375000,0.205710,0.393718,0.372540,0.138290,0.074321,0.149054
observed_only_planner,drawer_contact_repair,occlusion_persistence,combined_stress,6,72,0.250000,0.194560,0.397379,0.370365,0.133026,0.069995,0.156177
observed_only_planner,drawer_contact_repair,contact_mode_flip,in_distribution,0,72,0.500000,0.252680,0.348902,0.333391,0.126247,0.054702,0.140177
observed_only_planner,drawer_contact_repair,contact_mode_flip,in_distribution,1,72,0.430556,0.248608,0.351172,0.322680,0.126738,0.063945,0.148270
observed_only_planner,drawer_contact_repair,contact_mode_flip,in_distribution,2,72,0.500000,0.239788,0.349886,0.336764,0.126919,0.068095,0.149648
observed_only_planner,drawer_contact_repair,contact_mode_flip,in_distribution,3,72,0.486111,0.249356,0.349107,0.321721,0.125126,0.061218,0.145584
observed_only_planner,drawer_contact_repair,contact_mode_flip,in_distribution,4,72,0.625000,0.234114,0.341283,0.335009,0.123948,0.063319,0.143051
observed_only_planner,drawer_contact_repair,contact_mode_flip,in_distribution,5,72,0.486111,0.222321,0.355325,0.336394,0.123759,0.062094,0.141311
observed_only_planner,drawer_contact_repair,contact_mode_flip,in_distribution,6,72,0.444444,0.243349,0.346399,0.332807,0.123232,0.063785,0.147403
observed_only_planner,drawer_contact_repair,contact_mode_flip,hidden_mechanism,0,72,0.416667,0.204180,0.377846,0.355556,0.130694,0.068834,0.150300
observed_only_planner,drawer_contact_repair,contact_mode_flip,hidden_mechanism,1,72,0.430556,0.231233,0.369810,0.360790,0.133908,0.069491,0.157637
observed_only_planner,drawer_contact_repair,contact_mode_flip,hidden_mechanism,2,72,0.375000,0.218136,0.368755,0.353562,0.131595,0.073409,0.147573
observed_only_planner,drawer_contact_repair,contact_mode_flip,hidden_mechanism,3,72,0.513889,0.205902,0.376768,0.352000,0.131792,0.068758,0.149625
observed_only_planner,drawer_contact_repair,contact_mode_flip,hidden_mechanism,4,72,0.500000,0.216954,0.368454,0.355801,0.135626,0.074958,0.154530
observed_only_planner,drawer_contact_repair,contact_mode_flip,hidden_mechanism,5,72,0.416667,0.202273,0.366284,0.357297,0.131434,0.065486,0.151562
observed_only_planner,drawer_contact_repair,contact_mode_flip,hidden_mechanism,6,72,0.402778,0.228726,0.369636,0.351822,0.134176,0.061478,0.148197
observed_only_planner,drawer_contact_repair,contact_mode_flip,long_horizon,0,72,0.291667,0.212946,0.366725,0.364942,0.124173,0.063444,0.152317
observed_only_planner,drawer_contact_repair,contact_mode_flip,long_horizon,1,72,0.319444,0.227568,0.369005,0.342309,0.128033,0.063554,0.150328
observed_only_planner,drawer_contact_repair,contact_mode_flip,long_horizon,2,72,0.416667,0.221756,0.364399,0.348657,0.128597,0.069915,0.155367
observed_only_planner,drawer_contact_repair,contact_mode_flip,long_horizon,3,72,0.305556,0.220650,0.365173,0.346734,0.128316,0.057516,0.149110
observed_only_planner,drawer_contact_repair,contact_mode_flip,long_horizon,4,72,0.305556,0.221143,0.358303,0.352715,0.130450,0.067851,0.151770
observed_only_planner,drawer_contact_repair,contact_mode_flip,long_horizon,5,72,0.458333,0.209715,0.369836,0.346949,0.130071,0.067198,0.149830
observed_only_planner,drawer_contact_repair,contact_mode_flip,long_horizon,6,72,0.500000,0.228469,0.368975,0.351327,0.126579,0.064702,0.151046
observed_only_planner,drawer_contact_repair,contact_mode_flip,sparse_observation,0,72,0.430556,0.179358,0.388775,0.381092,0.140910,0.073887,0.161968
observed_only_planner,drawer_contact_repair,contact_mode_flip,sparse_observation,1,72,0.416667,0.181903,0.398805,0.380813,0.139605,0.074065,0.157893
observed_only_planner,drawer_contact_repair,contact_mode_flip,sparse_observation,2,72,0.416667,0.186841,0.399477,0.373626,0.137389,0.073017,0.159530
observed_only_planner,drawer_contact_repair,contact_mode_flip,sparse_observation,3,72,0.402778,0.195066,0.398226,0.378854,0.134131,0.068749,0.162272
observed_only_planner,drawer_contact_repair,contact_mode_flip,sparse_observation,4,72,0.277778,0.199520,0.397615,0.370567,0.135335,0.068971,0.159953
observed_only_planner,drawer_contact_repair,contact_mode_flip,sparse_observation,5,72,0.361111,0.186469,0.399444,0.382798,0.139521,0.074566,0.159804
observed_only_planner,drawer_contact_repair,contact_mode_flip,sparse_observation,6,72,0.361111,0.188658,0.401145,0.371337,0.139500,0.069850,0.156545
observed_only_planner,drawer_contact_repair,contact_mode_flip,combined_stress,0,72,0.263889,0.191955,0.400708,0.382627,0.140125,0.071292,0.168987
observed_only_planner,drawer_contact_repair,contact_mode_flip,combined_stress,1,72,0.208333,0.172818,0.408049,0.366915,0.137128,0.076391,0.157940
observed_only_planner,drawer_contact_repair,contact_mode_flip,combined_stress,2,72,0.430556,0.183141,0.396487,0.379796,0.136610,0.067369,0.165576
observed_only_planner,drawer_contact_repair,contact_mode_flip,combined_stress,3,72,0.263889,0.191846,0.396684,0.380863,0.142723,0.070451,0.154637
observed_only_planner,drawer_contact_repair,contact_mode_flip,combined_stress,4,72,0.333333,0.188615,0.399513,0.375068,0.138184,0.079735,0.166745
observed_only_planner,drawer_contact_repair,contact_mode_flip,combined_stress,5,72,0.388889,0.176069,0.400209,0.383302,0.142880,0.075153,0.160579
observed_only_planner,drawer_contact_repair,contact_mode_flip,combined_stress,6,72,0.305556,0.174115,0.405566,0.382889,0.139324,0.074423,0.163406
observed_only_planner,drawer_contact_repair,actuator_lag,in_distribution,0,72,0.513889,0.235303,0.347366,0.323062,0.119980,0.066803,0.145250
observed_only_planner,drawer_contact_repair,actuator_lag,in_distribution,1,72,0.541667,0.241604,0.344358,0.315502,0.122983,0.059491,0.141686
observed_only_planner,drawer_contact_repair,actuator_lag,in_distribution,2,72,0.375000,0.257835,0.346105,0.336972,0.121014,0.061984,0.139955
observed_only_planner,drawer_contact_repair,actuator_lag,in_distribution,3,72,0.500000,0.243623,0.345561,0.319844,0.123309,0.062673,0.147115
observed_only_planner,drawer_contact_repair,actuator_lag,in_distribution,4,72,0.500000,0.253421,0.347741,0.322485,0.120686,0.059258,0.142775
observed_only_planner,drawer_contact_repair,actuator_lag,in_distribution,5,72,0.500000,0.249721,0.335635,0.324617,0.122584,0.058466,0.146997
observed_only_planner,drawer_contact_repair,actuator_lag,in_distribution,6,72,0.472222,0.246900,0.346139,0.320682,0.121354,0.058162,0.140347
observed_only_planner,drawer_contact_repair,actuator_lag,hidden_mechanism,0,72,0.388889,0.221021,0.374028,0.338846,0.130689,0.060627,0.151500
observed_only_planner,drawer_contact_repair,actuator_lag,hidden_mechanism,1,72,0.500000,0.210703,0.363860,0.347372,0.130641,0.065304,0.143935
observed_only_planner,drawer_contact_repair,actuator_lag,hidden_mechanism,2,72,0.458333,0.235928,0.370014,0.347148,0.130625,0.066860,0.149594
observed_only_planner,drawer_contact_repair,actuator_lag,hidden_mechanism,3,72,0.458333,0.236238,0.370214,0.345685,0.133210,0.071268,0.150707
observed_only_planner,drawer_contact_repair,actuator_lag,hidden_mechanism,4,72,0.402778,0.231554,0.365361,0.351340,0.125953,0.061259,0.148541
observed_only_planner,drawer_contact_repair,actuator_lag,hidden_mechanism,5,72,0.486111,0.220695,0.362730,0.351470,0.136454,0.063470,0.152333
observed_only_planner,drawer_contact_repair,actuator_lag,hidden_mechanism,6,72,0.486111,0.207992,0.378055,0.345753,0.125787,0.060101,0.146066
observed_only_planner,drawer_contact_repair,actuator_lag,long_horizon,0,72,0.458333,0.226432,0.358304,0.340311,0.130681,0.064184,0.144768
observed_only_planner,drawer_contact_repair,actuator_lag,long_horizon,1,72,0.402778,0.241367,0.359993,0.339352,0.127022,0.064949,0.146578
observed_only_planner,drawer_contact_repair,actuator_lag,long_horizon,2,72,0.319444,0.224760,0.363293,0.341226,0.127258,0.069467,0.146591
observed_only_planner,drawer_contact_repair,actuator_lag,long_horizon,3,72,0.416667,0.228544,0.360731,0.342490,0.130793,0.062446,0.145512
observed_only_planner,drawer_contact_repair,actuator_lag,long_horizon,4,72,0.347222,0.229310,0.362566,0.339607,0.128786,0.065563,0.147588
observed_only_planner,drawer_contact_repair,actuator_lag,long_horizon,5,72,0.388889,0.238124,0.357464,0.339275,0.123890,0.065892,0.149149
