method,split,seed,mean_success,mean_mechanism_f1,mean_invalid_repair_rate,mean_repeat_failure_rate,mean_damage_rate,mean_diagnostic_probe_cost,mean_calibration_error,mean_abstention_rate,mean_budget_violation_rate,mean_predicted_breach_risk,mean_realized_breach_risk,mean_repair_utility,ci95_success,ci95_mechanism_f1,ci95_invalid_repair_rate,ci95_repeat_failure_rate,ci95_damage_rate,ci95_diagnostic_probe_cost,ci95_calibration_error,ci95_abstention_rate,ci95_budget_violation_rate,ci95_predicted_breach_risk,ci95_realized_breach_risk,ci95_repair_utility,rows
active_probe_planner,in_distribution,2,0.666667,0.560969,0.169204,0.157567,0.069154,0.296959,0.064045,0.087545,0.136383,0.153490,0.142312,0.277749,0.047212,0.003762,0.002043,0.001531,0.000696,0.001039,0.000636,0.001146,0.001220,0.001494,0.001357,0.048054,384
active_probe_planner,in_distribution,3,0.700521,0.561079,0.169027,0.157429,0.069301,0.297177,0.064069,0.087143,0.136577,0.153578,0.142748,0.311634,0.045872,0.003727,0.002053,0.001486,0.000682,0.001071,0.000653,0.001152,0.001203,0.001463,0.001313,0.046201,384
active_probe_planner,in_distribution,4,0.645833,0.560621,0.168984,0.157978,0.069533,0.297484,0.063919,0.087324,0.136721,0.153691,0.142340,0.256019,0.047898,0.003736,0.002039,0.001481,0.000676,0.001037,0.000673,0.001177,0.001229,0.001514,0.001363,0.048809,384
active_probe_planner,in_distribution,5,0.669271,0.560524,0.169441,0.157420,0.069002,0.296933,0.063949,0.086985,0.136794,0.153725,0.142965,0.280166,0.047119,0.003815,0.002021,0.001484,0.000678,0.001046,0.000660,0.001169,0.001195,0.001482,0.001307,0.047725,384
active_probe_planner,in_distribution,6,0.651042,0.562128,0.169252,0.157670,0.069265,0.297357,0.063669,0.086939,0.136228,0.152874,0.142193,0.262580,0.047736,0.003634,0.001984,0.001485,0.000689,0.001042,0.000665,0.001178,0.001256,0.001546,0.001366,0.048872,384
active_probe_planner,in_distribution,7,0.638021,0.561361,0.168971,0.157275,0.069205,0.297083,0.063987,0.087311,0.136992,0.153798,0.142561,0.249276,0.048130,0.003742,0.001994,0.001468,0.000692,0.001036,0.000668,0.001174,0.001208,0.001465,0.001348,0.049389,384
active_probe_planner,in_distribution,8,0.700521,0.560991,0.169207,0.157461,0.069340,0.297633,0.064209,0.087122,0.136738,0.153685,0.142656,0.311061,0.045872,0.003713,0.001992,0.001499,0.000693,0.001046,0.000662,0.001171,0.001231,0.001477,0.001357,0.047461,384
active_probe_planner,in_distribution,9,0.643229,0.561505,0.169716,0.157219,0.069050,0.297043,0.063779,0.087347,0.136563,0.153577,0.142662,0.254446,0.047977,0.003753,0.002032,0.001502,0.000702,0.001060,0.000651,0.001163,0.001194,0.001476,0.001322,0.049170,384
active_probe_planner,long_horizon,0,0.627604,0.551887,0.186138,0.182320,0.077448,0.301318,0.069869,0.098985,0.150371,0.170010,0.157312,0.176310,0.048417,0.003729,0.002006,0.001478,0.000631,0.001025,0.000668,0.001163,0.001172,0.001440,0.001310,0.048837,384
active_probe_planner,long_horizon,1,0.666667,0.551570,0.186344,0.183077,0.076898,0.301048,0.070147,0.099080,0.150117,0.170498,0.156908,0.215136,0.047212,0.003721,0.001981,0.001498,0.000633,0.001051,0.000634,0.001175,0.001206,0.001495,0.001311,0.047732,384
active_probe_planner,long_horizon,2,0.671875,0.550632,0.186256,0.182288,0.077245,0.301170,0.069874,0.098716,0.150066,0.170172,0.157076,0.220574,0.047024,0.003794,0.001945,0.001465,0.000670,0.001034,0.000664,0.001177,0.001184,0.001446,0.001286,0.047900,384
active_probe_planner,long_horizon,3,0.645833,0.551643,0.186180,0.182882,0.077224,0.301012,0.069987,0.098597,0.149867,0.169743,0.157130,0.194643,0.047898,0.003778,0.001970,0.001472,0.000678,0.001066,0.000654,0.001149,0.001162,0.001438,0.001282,0.048911,384
active_probe_planner,long_horizon,4,0.630208,0.551488,0.186074,0.182651,0.077066,0.301130,0.069716,0.098804,0.150153,0.169887,0.156784,0.179295,0.048348,0.003717,0.001963,0.001456,0.000645,0.001039,0.000640,0.001170,0.001153,0.001462,0.001273,0.048978,384
active_probe_planner,long_horizon,5,0.627604,0.552075,0.186285,0.182436,0.077306,0.301414,0.070280,0.099034,0.150153,0.170453,0.156954,0.176175,0.048417,0.003764,0.001983,0.001520,0.000642,0.001034,0.000628,0.001183,0.001142,0.001420,0.001258,0.050103,384
active_probe_planner,long_horizon,6,0.664062,0.551243,0.186470,0.182960,0.077153,0.301170,0.069970,0.098769,0.149844,0.169722,0.156926,0.212424,0.047303,0.003740,0.001959,0.001525,0.000655,0.001053,0.000670,0.001178,0.001181,0.001477,0.001289,0.048444,384
active_probe_planner,long_horizon,7,0.695312,0.551887,0.186220,0.182312,0.077226,0.301262,0.070152,0.098760,0.149716,0.169728,0.156522,0.244510,0.046097,0.003648,0.001975,0.001473,0.000636,0.000997,0.000615,0.001190,0.001181,0.001440,0.001303,0.047044,384
active_probe_planner,long_horizon,8,0.630208,0.552250,0.186258,0.182435,0.077244,0.301339,0.070036,0.098438,0.150118,0.169873,0.156879,0.179226,0.048348,0.003815,0.001932,0.001501,0.000652,0.001047,0.000647,0.001173,0.001159,0.001418,0.001312,0.049657,384
active_probe_planner,long_horizon,9,0.645833,0.551007,0.186076,0.182768,0.077491,0.300995,0.070238,0.098389,0.150056,0.170100,0.157213,0.194121,0.047898,0.003759,0.001958,0.001459,0.000654,0.001115,0.000657,0.001164,0.001143,0.001437,0.001263,0.049150,384
active_probe_planner,sparse_observation,0,0.645833,0.530201,0.191036,0.180225,0.079110,0.308384,0.076784,0.110298,0.154041,0.179849,0.162146,0.172084,0.047898,0.003450,0.001842,0.001398,0.000609,0.000901,0.000528,0.000964,0.001049,0.001223,0.001157,0.048575,384
active_probe_planner,sparse_observation,1,0.651042,0.529190,0.191024,0.179988,0.079006,0.308818,0.076665,0.110251,0.153626,0.179382,0.161650,0.177461,0.047736,0.003401,0.001845,0.001358,0.000586,0.000923,0.000510,0.000918,0.001110,0.001303,0.001197,0.048710,384
active_probe_planner,sparse_observation,2,0.580729,0.530444,0.191473,0.180027,0.078702,0.308647,0.076821,0.110120,0.153352,0.178972,0.161246,0.107620,0.049419,0.003469,0.001846,0.001364,0.000616,0.000932,0.000518,0.000902,0.001086,0.001283,0.001181,0.050460,384
active_probe_planner,sparse_observation,3,0.679688,0.530361,0.191020,0.179743,0.079008,0.308659,0.077011,0.110101,0.153601,0.179450,0.161625,0.206605,0.046730,0.003368,0.001840,0.001412,0.000600,0.000951,0.000521,0.000915,0.001085,0.001288,0.001190,0.047597,384
active_probe_planner,sparse_observation,4,0.596354,0.529891,0.190982,0.180035,0.079004,0.308291,0.076743,0.110094,0.153825,0.179746,0.161904,0.123038,0.049137,0.003462,0.001870,0.001371,0.000608,0.000908,0.000488,0.000887,0.001084,0.001275,0.001180,0.049940,384
active_probe_planner,sparse_observation,5,0.572917,0.530739,0.190892,0.180004,0.078835,0.308727,0.076973,0.110458,0.153238,0.178771,0.161141,0.100220,0.049540,0.003409,0.001861,0.001416,0.000594,0.000929,0.000527,0.000932,0.001064,0.001257,0.001187,0.050294,384
active_probe_planner,sparse_observation,6,0.630208,0.531198,0.191156,0.179499,0.078705,0.308855,0.076534,0.110488,0.153777,0.179329,0.161392,0.157802,0.048348,0.003368,0.001805,0.001397,0.000636,0.000916,0.000528,0.000958,0.001062,0.001276,0.001157,0.049153,384
active_probe_planner,sparse_observation,7,0.622396,0.529596,0.191159,0.179846,0.078860,0.308521,0.076866,0.110317,0.153881,0.179365,0.162142,0.148899,0.048552,0.003377,0.001860,0.001420,0.000615,0.000895,0.000513,0.000956,0.001063,0.001271,0.001171,0.049169,384
active_probe_planner,sparse_observation,8,0.617188,0.529294,0.190803,0.179827,0.078832,0.308999,0.076926,0.110211,0.153882,0.179395,0.162064,0.143804,0.048681,0.003309,0.001850,0.001392,0.000607,0.000936,0.000472,0.000908,0.001083,0.001252,0.001185,0.049253,384
active_probe_planner,sparse_observation,9,0.601562,0.529651,0.190220,0.180161,0.079003,0.308584,0.076958,0.110312,0.153622,0.179487,0.161739,0.128649,0.049032,0.003461,0.001855,0.001382,0.000622,0.000911,0.000513,0.000917,0.001044,0.001238,0.001139,0.050036,384
causal_query_repair,combined_stress,0,0.651042,0.558578,0.179584,0.178961,0.078168,0.280765,0.075448,0.133475,0.146059,0.175807,0.152822,0.208930,0.047736,0.003082,0.001559,0.001288,0.000490,0.000852,0.000477,0.000951,0.000872,0.001053,0.000969,0.048510,384
causal_query_repair,combined_stress,1,0.622396,0.557639,0.178854,0.179226,0.078060,0.281142,0.075282,0.133520,0.146610,0.176370,0.153287,0.180159,0.048552,0.003085,0.001557,0.001225,0.000473,0.000807,0.000475,0.000970,0.000874,0.001058,0.000996,0.049155,384
causal_query_repair,combined_stress,2,0.656250,0.558609,0.178776,0.179449,0.077845,0.281397,0.075303,0.133188,0.146590,0.176083,0.153122,0.214459,0.047568,0.003102,0.001562,0.001265,0.000486,0.000809,0.000455,0.000953,0.000858,0.001020,0.000961,0.048100,384
causal_query_repair,combined_stress,3,0.617188,0.558349,0.178713,0.179116,0.077833,0.281111,0.075255,0.133091,0.146181,0.175949,0.152724,0.176030,0.048681,0.003102,0.001573,0.001258,0.000485,0.000842,0.000492,0.000942,0.000862,0.001058,0.000963,0.049208,384
causal_query_repair,combined_stress,4,0.619792,0.557804,0.179386,0.179427,0.077946,0.281033,0.075508,0.132812,0.146424,0.176079,0.152951,0.177256,0.048617,0.003040,0.001551,0.001267,0.000497,0.000827,0.000485,0.000934,0.000877,0.001049,0.000992,0.049010,384
causal_query_repair,combined_stress,5,0.658854,0.557883,0.178500,0.179253,0.077789,0.281044,0.075385,0.132864,0.146460,0.176060,0.153152,0.217490,0.047481,0.003122,0.001570,0.001217,0.000493,0.000812,0.000472,0.000926,0.000903,0.001083,0.001001,0.047941,384
causal_query_repair,combined_stress,6,0.614583,0.558686,0.179171,0.179032,0.078428,0.280843,0.075296,0.133269,0.146443,0.176020,0.153401,0.172414,0.048743,0.003064,0.001555,0.001267,0.000457,0.000800,0.000469,0.000921,0.000875,0.001086,0.000974,0.049667,384
causal_query_repair,combined_stress,7,0.611979,0.558324,0.178708,0.179416,0.077771,0.281051,0.075337,0.133225,0.145862,0.175614,0.152525,0.170800,0.048804,0.003056,0.001571,0.001217,0.000501,0.000806,0.000486,0.000970,0.000862,0.001044,0.000994,0.049345,384
causal_query_repair,combined_stress,8,0.651042,0.558136,0.178904,0.179263,0.077959,0.281044,0.075218,0.133150,0.146026,0.175379,0.152493,0.209517,0.047736,0.003012,0.001564,0.001311,0.000477,0.000825,0.000480,0.000972,0.000888,0.001053,0.001001,0.048489,384
causal_query_repair,combined_stress,9,0.598958,0.557836,0.179079,0.178802,0.077627,0.281067,0.075121,0.133097,0.146270,0.175876,0.152962,0.157778,0.049085,0.003062,0.001565,0.001290,0.000471,0.000825,0.000471,0.000938,0.000885,0.001069,0.000972,0.049457,384
causal_query_repair,hidden_mechanism,0,0.653646,0.578888,0.158681,0.154995,0.068657,0.273981,0.065667,0.113579,0.130458,0.153943,0.135598,0.287632,0.047653,0.003434,0.001926,0.001430,0.000631,0.000955,0.000663,0.001269,0.001132,0.001420,0.001236,0.048361,384
causal_query_repair,hidden_mechanism,1,0.684896,0.579231,0.158826,0.154771,0.068625,0.274012,0.065654,0.113737,0.130866,0.154371,0.136135,0.318778,0.046526,0.003543,0.001929,0.001419,0.000643,0.000975,0.000639,0.001274,0.001152,0.001450,0.001263,0.047793,384
causal_query_repair,hidden_mechanism,2,0.648438,0.578522,0.159522,0.154357,0.068487,0.274046,0.065839,0.113524,0.130527,0.153979,0.136014,0.282056,0.047818,0.003425,0.001975,0.001447,0.000663,0.000965,0.000619,0.001298,0.001150,0.001413,0.001253,0.048733,384
causal_query_repair,hidden_mechanism,3,0.679688,0.579118,0.159287,0.154730,0.068849,0.273668,0.065666,0.113412,0.130443,0.153931,0.135741,0.313336,0.046730,0.003520,0.001969,0.001453,0.000670,0.000970,0.000633,0.001295,0.001142,0.001406,0.001253,0.047695,384
causal_query_repair,hidden_mechanism,4,0.651042,0.578059,0.159039,0.154932,0.068757,0.273960,0.065848,0.113777,0.130471,0.153835,0.135874,0.284222,0.047736,0.003421,0.001961,0.001393,0.000662,0.000990,0.000625,0.001310,0.001188,0.001433,0.001303,0.048576,384
causal_query_repair,hidden_mechanism,5,0.664062,0.579069,0.158886,0.154751,0.068503,0.273706,0.065779,0.113694,0.130377,0.153889,0.135377,0.298324,0.047303,0.003450,0.001947,0.001442,0.000664,0.000966,0.000638,0.001253,0.001152,0.001438,0.001276,0.048184,384
causal_query_repair,hidden_mechanism,6,0.645833,0.578454,0.158680,0.154424,0.068576,0.273416,0.065876,0.113661,0.130561,0.154172,0.135503,0.280177,0.047898,0.003541,0.001949,0.001437,0.000664,0.000979,0.000637,0.001279,0.001190,0.001484,0.001309,0.048922,384
causal_query_repair,hidden_mechanism,7,0.664062,0.577976,0.158564,0.154743,0.068588,0.273823,0.065959,0.113731,0.130580,0.154345,0.135423,0.297898,0.047303,0.003429,0.001931,0.001409,0.000667,0.000927,0.000650,0.001284,0.001156,0.001436,0.001262,0.048033,384
causal_query_repair,hidden_mechanism,8,0.692708,0.579398,0.158761,0.155188,0.068323,0.273652,0.065899,0.113653,0.130507,0.153952,0.135749,0.326922,0.046207,0.003494,0.001934,0.001461,0.000646,0.000926,0.000638,0.001306,0.001182,0.001485,0.001293,0.047042,384
causal_query_repair,hidden_mechanism,9,0.695312,0.578710,0.159048,0.154818,0.068731,0.273830,0.065347,0.113416,0.130653,0.154121,0.135531,0.329086,0.046097,0.003491,0.001931,0.001421,0.000654,0.000967,0.000652,0.001306,0.001159,0.001446,0.001277,0.046398,384
causal_query_repair,in_distribution,0,0.679688,0.591293,0.147188,0.142763,0.063873,0.269102,0.060371,0.103465,0.122705,0.142795,0.127207,0.354338,0.046730,0.003405,0.001981,0.001444,0.000700,0.000986,0.000636,0.001284,0.001186,0.001434,0.001291,0.048097,384
causal_query_repair,in_distribution,1,0.731771,0.591218,0.147248,0.142965,0.063717,0.269488,0.060596,0.103349,0.122535,0.142994,0.126954,0.406241,0.044371,0.003460,0.001997,0.001486,0.000675,0.000979,0.000643,0.001295,0.001168,0.001471,0.001287,0.044600,384
causal_query_repair,in_distribution,2,0.703125,0.590752,0.147608,0.143005,0.063682,0.269276,0.060431,0.103371,0.122614,0.142583,0.126884,0.377209,0.045757,0.003476,0.001960,0.001457,0.000656,0.001031,0.000629,0.001295,0.001174,0.001460,0.001287,0.046547,384
causal_query_repair,in_distribution,3,0.705729,0.591600,0.147748,0.142857,0.063943,0.269368,0.060786,0.103465,0.122409,0.142659,0.126784,0.379707,0.045640,0.003481,0.001923,0.001480,0.000653,0.000985,0.000617,0.001327,0.001153,0.001436,0.001252,0.046828,384
causal_query_repair,in_distribution,4,0.656250,0.590735,0.147243,0.142468,0.063637,0.269107,0.060380,0.103068,0.122403,0.142493,0.126771,0.331402,0.047568,0.003574,0.001954,0.001500,0.000645,0.000932,0.000658,0.001322,0.001153,0.001443,0.001242,0.048636,384
causal_query_repair,in_distribution,5,0.695312,0.590668,0.147772,0.143041,0.063761,0.269431,0.060496,0.103698,0.122323,0.142557,0.126424,0.369144,0.046097,0.003519,0.002030,0.001451,0.000661,0.000991,0.000642,0.001370,0.001164,0.001461,0.001290,0.046808,384
causal_query_repair,in_distribution,6,0.716146,0.592234,0.147747,0.143047,0.063840,0.269358,0.060787,0.103317,0.122641,0.142815,0.126775,0.390185,0.045155,0.003491,0.001962,0.001494,0.000654,0.001012,0.000663,0.001294,0.001162,0.001473,0.001262,0.046329,384
causal_query_repair,in_distribution,7,0.687500,0.590779,0.147696,0.142637,0.064094,0.269639,0.060825,0.103015,0.122364,0.142584,0.126819,0.361275,0.046421,0.003393,0.001959,0.001473,0.000619,0.000939,0.000635,0.001306,0.001130,0.001404,0.001245,0.047017,384
causal_query_repair,in_distribution,8,0.721354,0.590932,0.147460,0.142871,0.063790,0.269123,0.060543,0.103079,0.122125,0.141964,0.126271,0.395982,0.044901,0.003496,0.001907,0.001495,0.000651,0.000988,0.000614,0.001259,0.001140,0.001416,0.001246,0.045895,384
causal_query_repair,in_distribution,9,0.716146,0.592060,0.147750,0.143091,0.063805,0.269311,0.060536,0.103293,0.122298,0.142373,0.126588,0.390499,0.045155,0.003570,0.001964,0.001450,0.000648,0.000971,0.000631,0.001289,0.001180,0.001453,0.001276,0.046032,384
causal_query_repair,long_horizon,0,0.692708,0.581947,0.164124,0.167842,0.071498,0.273003,0.066421,0.116004,0.135341,0.158490,0.140609,0.306000,0.046207,0.003489,0.001900,0.001408,0.000627,0.000926,0.000599,0.001268,0.001112,0.001381,0.001226,0.046456,384
causal_query_repair,long_horizon,1,0.677083,0.582813,0.164022,0.167668,0.071533,0.273121,0.066538,0.115875,0.135100,0.158136,0.140289,0.290943,0.046830,0.003497,0.001833,0.001486,0.000620,0.000960,0.000621,0.001278,0.001095,0.001390,0.001197,0.048041,384
causal_query_repair,long_horizon,2,0.669271,0.582586,0.164100,0.167387,0.071178,0.272922,0.066361,0.116041,0.135261,0.158662,0.140287,0.283592,0.047119,0.003428,0.001898,0.001455,0.000635,0.000967,0.000640,0.001260,0.001138,0.001434,0.001252,0.048203,384
causal_query_repair,long_horizon,3,0.674479,0.582513,0.163742,0.167747,0.071360,0.273299,0.066490,0.116259,0.135260,0.158454,0.140418,0.288409,0.046928,0.003452,0.001966,0.001444,0.000619,0.000993,0.000610,0.001259,0.001129,0.001434,0.001237,0.048152,384
causal_query_repair,long_horizon,4,0.708333,0.582823,0.163683,0.167644,0.071490,0.272782,0.066470,0.115828,0.135243,0.158597,0.140635,0.322628,0.045522,0.003446,0.001854,0.001431,0.000629,0.000954,0.000639,0.001300,0.001097,0.001395,0.001216,0.046677,384
causal_query_repair,long_horizon,5,0.710938,0.582453,0.164116,0.167394,0.071436,0.273054,0.066425,0.115908,0.135427,0.158598,0.140529,0.324769,0.045401,0.003439,0.001914,0.001474,0.000635,0.000957,0.000640,0.001295,0.001120,0.001376,0.001215,0.046600,384
causal_query_repair,long_horizon,6,0.664062,0.582247,0.163971,0.167561,0.071295,0.272944,0.066228,0.115815,0.135272,0.158724,0.140544,0.278233,0.047303,0.003388,0.001900,0.001455,0.000637,0.000968,0.000612,0.001269,0.001099,0.001377,0.001196,0.048208,384
causal_query_repair,long_horizon,7,0.669271,0.582380,0.163671,0.167760,0.071370,0.273129,0.066520,0.116242,0.135061,0.158204,0.140094,0.283364,0.047119,0.003362,0.001906,0.001413,0.000644,0.000987,0.000631,0.001264,0.001141,0.001429,0.001271,0.048008,384
causal_query_repair,long_horizon,8,0.677083,0.582027,0.163880,0.167949,0.071452,0.272843,0.066376,0.115993,0.134980,0.158074,0.140131,0.290896,0.046830,0.003544,0.001921,0.001457,0.000623,0.001006,0.000646,0.001277,0.001147,0.001414,0.001238,0.047319,384
causal_query_repair,long_horizon,9,0.674479,0.582496,0.164124,0.167967,0.071705,0.273032,0.066470,0.115470,0.135468,0.158759,0.141034,0.287632,0.046928,0.003433,0.001911,0.001426,0.000614,0.000989,0.000634,0.001318,0.001138,0.001428,0.001271,0.047790,384
causal_query_repair,sparse_observation,0,0.588542,0.561159,0.168700,0.164801,0.073077,0.279912,0.073238,0.128256,0.138382,0.167321,0.144667,0.181118,0.049284,0.003104,0.001824,0.001343,0.000582,0.000865,0.000490,0.001017,0.001048,0.001244,0.001128,0.049979,384
causal_query_repair,sparse_observation,1,0.645833,0.561463,0.168453,0.164678,0.073086,0.279668,0.073180,0.127734,0.138922,0.167773,0.145060,0.238691,0.047898,0.003160,0.001834,0.001358,0.000612,0.000884,0.000479,0.001026,0.001001,0.001180,0.001053,0.048516,384
causal_query_repair,sparse_observation,2,0.677083,0.561551,0.168555,0.165138,0.072956,0.280131,0.073270,0.128078,0.138736,0.167807,0.145022,0.269517,0.046830,0.003048,0.001800,0.001389,0.000582,0.000834,0.000501,0.000995,0.001060,0.001245,0.001194,0.047316,384
causal_query_repair,sparse_observation,3,0.648438,0.560955,0.168655,0.164670,0.073393,0.279961,0.073074,0.127461,0.138782,0.167215,0.144966,0.240733,0.047818,0.003126,0.001776,0.001383,0.000580,0.000877,0.000484,0.001031,0.001000,0.001203,0.001111,0.048167,384
causal_query_repair,sparse_observation,4,0.640625,0.560306,0.168565,0.165136,0.072875,0.279863,0.073389,0.127465,0.138742,0.167773,0.145047,0.232846,0.048054,0.003040,0.001780,0.001326,0.000580,0.000849,0.000503,0.001046,0.001022,0.001192,0.001108,0.048524,384
causal_query_repair,sparse_observation,5,0.648438,0.561039,0.168715,0.164580,0.073124,0.279797,0.073128,0.127970,0.138739,0.167226,0.145041,0.241005,0.047818,0.003117,0.001817,0.001313,0.000596,0.000846,0.000477,0.001043,0.001029,0.001217,0.001112,0.048633,384
